,n_fold,k,score_function,algorithm,accuracy,precision,recall,f-measure
0,0,10,chi2,NaiveBayes,0.8025265957446809,0.7976165179203853,0.8236603059241756,0.7972334583314231
1,0,10,chi2,KNN,0.6402925531914894,0.7455949419568823,0.7190267659581843,0.6385307626729738
2,0,10,chi2,RandomForest,0.8357712765957447,0.8604461104803665,0.7836817972612025,0.8033096926713947
3,0,10,chi2,LogisticRegression,0.8251329787234043,0.8545539791258969,0.7679561468882816,0.7877774826904453
4,0,10,chi2,DecisionTree,0.8337765957446809,0.8589919345906872,0.7808885011718171,0.8005326203435508
5,0,10,chi2,SimpleLogistic,0.8224734042553191,0.855612090785047,0.7629896452581367,0.7830693061284022
6,0,10,chi2,JRIP,0.3690159574468085,0.5317247820672478,0.5039246724785712,0.2930563005735111
7,0,10,chi2,SMO-PolyKernel,0.8238031914893617,0.8607263513513514,0.7631957001919969,0.7837916423231549
8,0,10,chi2,SMO-NormalizedPolyKernel,0.8357712765957447,0.8858912826304131,0.7737449425068219,0.7967495287883637
9,0,10,chi2,SMO-Puk,0.8344414893617021,0.8594767870302138,0.7818195998682789,0.8014597239916088
10,0,10,chi2,SMO-RBFKernel,0.8291223404255319,0.8697885180353602,0.7685743116898622,0.7900234407042532
11,0,10,chi2,AdaBoostM1,0.8284574468085106,0.8660289464509009,0.768885319837698,0.7899441340782123
12,0,10,chi2,RandomCommittee,0.8344414893617021,0.8594767870302138,0.7818195998682789,0.8014597239916088
13,1,10,chi2,NaiveBayes,0.7772606382978723,0.7812980234690914,0.7944588691637802,0.7754514569315948
14,1,10,chi2,KNN,0.6496010638297872,0.7605619585963882,0.7104958829318195,0.6433573387508633
15,1,10,chi2,RandomForest,0.8324468085106383,0.8660726019343609,0.7942614945244755,0.8092983939137786
16,1,10,chi2,LogisticRegression,0.7992021276595744,0.8287572031678531,0.7570327456572946,0.7694862404690177
17,1,10,chi2,DecisionTree,0.8337765957446809,0.8669525234211815,0.795953541901802,0.8110108306878201
18,1,10,chi2,SimpleLogistic,0.7972074468085106,0.8306136370233477,0.7533011603404851,0.7657697678990407
19,1,10,chi2,JRIP,0.4035904255319149,0.5477459016393442,0.5051817792628752,0.31113272723094954
20,1,10,chi2,SMO-PolyKernel,0.8085106382978723,0.8575714991074481,0.7617159917936629,0.775863888975131
21,1,10,chi2,SMO-NormalizedPolyKernel,0.8105053191489362,0.8679393169248075,0.7618670343580135,0.7764527520186999
22,1,10,chi2,SMO-Puk,0.8331117021276596,0.8673696559878801,0.7948091396504338,0.8099548376930825
23,1,10,chi2,SMO-RBFKernel,0.8091755319148937,0.8613055939403245,0.7616668797942114,0.7759738423012548
24,1,10,chi2,AdaBoostM1,0.8131648936170213,0.8583436494181729,0.7682349147397156,0.7827178469209227
25,1,10,chi2,RandomCommittee,0.8337765957446809,0.8669525234211815,0.795953541901802,0.8110108306878201
26,2,10,chi2,NaiveBayes,0.8071808510638298,0.7977733286196733,0.8297071302541588,0.7997351596663966
27,2,10,chi2,KNN,0.6396276595744681,0.7397919525660231,0.7251284956420652,0.6390909268005873
28,2,10,chi2,RandomForest,0.8377659574468085,0.8694745122635066,0.7734660679054964,0.7969973558144423
29,2,10,chi2,LogisticRegression,0.8178191489361702,0.8454012223300837,0.7484573638378939,0.7699612597827421
30,2,10,chi2,DecisionTree,0.8377659574468085,0.8694745122635066,0.7734660679054964,0.7969973558144423
31,2,10,chi2,SimpleLogistic,0.8191489361702128,0.8495842343200691,0.7489963275719291,0.7709365950022287
32,2,10,chi2,JRIP,0.3550531914893617,0.5499558208158979,0.505894178208162,0.2845934155603678
33,2,10,chi2,SMO-PolyKernel,0.817154255319149,0.8491923214605334,0.7456022329621566,0.7675086608082897
34,2,10,chi2,SMO-NormalizedPolyKernel,0.8351063829787234,0.8905551681627873,0.7611053083993761,0.7871317528620835
35,2,10,chi2,SMO-Puk,0.8371010638297872,0.8690118484422282,0.7724914090361007,0.796013155512843
36,2,10,chi2,SMO-RBFKernel,0.8224734042553191,0.8636392343288894,0.7491684419030533,0.7724815593960536
37,2,10,chi2,AdaBoostM1,0.8218085106382979,0.8619355873098583,0.7486639010352432,0.7718115942028985
38,2,10,chi2,RandomCommittee,0.8377659574468085,0.8694745122635066,0.7734660679054964,0.7969973558144423
39,3,10,chi2,NaiveBayes,0.7925531914893617,0.7923919059669002,0.8107966880633065,0.7894011202068074
40,3,10,chi2,KNN,0.6329787234042553,0.7512208550496322,0.7041248836968883,0.6275243484206503
41,3,10,chi2,RandomForest,0.8377659574468085,0.8688002937306857,0.7945321090570754,0.81187008241347
42,3,10,chi2,LogisticRegression,0.8131648936170213,0.856372589333443,0.7606430269823219,0.7773796662148844
43,3,10,chi2,DecisionTree,0.8371010638297872,0.8674828723674195,0.7939973496987867,0.8112069729634735
44,3,10,chi2,SimpleLogistic,0.8138297872340425,0.8623378938455368,0.7598018852851893,0.7768867564657913
45,3,10,chi2,JRIP,0.3882978723404255,0.5474083438685209,0.5045816377357781,0.30006171403134263
46,3,10,chi2,SMO-PolyKernel,0.8105053191489362,0.8568476668759155,0.7564401379660348,0.773049645390071
47,3,10,chi2,SMO-NormalizedPolyKernel,0.8184840425531915,0.8686492990165307,0.764921101848632,0.7826054497946995
48,3,10,chi2,SMO-Puk,0.8397606382978723,0.8727911599072453,0.7961363871319418,0.8138628199630771
49,3,10,chi2,SMO-RBFKernel,0.8105053191489362,0.8579757438177213,0.7560961627021795,0.7727551057735282
50,3,10,chi2,AdaBoostM1,0.8158244680851063,0.8591611648497877,0.7638139902070431,0.7808266454126257
51,3,10,chi2,RandomCommittee,0.8377659574468085,0.8688002937306857,0.7945321090570754,0.81187008241347
52,4,10,chi2,NaiveBayes,0.7912234042553191,0.7888582452205017,0.8077751703469139,0.7873881466514676
53,4,10,chi2,KNN,0.6496010638297872,0.7540019328764717,0.717972424062503,0.6463136175022568
54,4,10,chi2,RandomForest,0.819813829787234,0.8576283079390536,0.7689888508769449,0.7863805437237388
55,4,10,chi2,LogisticRegression,0.7998670212765957,0.8368487638958022,0.744907499033994,0.7603085728505661
56,4,10,chi2,DecisionTree,0.819813829787234,0.8566419080136172,0.7693413252660051,0.7866462308027725
57,4,10,chi2,SimpleLogistic,0.7965425531914894,0.8375779674124786,0.7394252971057518,0.7545644786607022
58,4,10,chi2,JRIP,0.38430851063829785,0.5314207915977828,0.5030450394413186,0.2970103719317798
59,4,10,chi2,SMO-PolyKernel,0.8011968085106383,0.8533101563619134,0.7417427690915774,0.757739137086821
60,4,10,chi2,SMO-NormalizedPolyKernel,0.8071808510638298,0.8758157450736956,0.7447727294146474,0.7618798043326345
61,4,10,chi2,SMO-Puk,0.8191489361702128,0.8571830356358121,0.7681038951247325,0.7854583595552758
62,4,10,chi2,SMO-RBFKernel,0.8071808510638298,0.8672526671433178,0.7468875757490081,0.7638906933437271
63,4,10,chi2,AdaBoostM1,0.8065159574468085,0.8628848283499446,0.747060043163976,0.7638964338793599
64,4,10,chi2,RandomCommittee,0.8204787234042553,0.8580735516624777,0.7698738066291573,0.7873013545082181
65,5,10,chi2,NaiveBayes,0.773936170212766,0.7702015912115292,0.7957886172562085,0.7679277787762111
66,5,10,chi2,KNN,0.6223404255319149,0.7388772461764836,0.7075587927627756,0.6199208405706312
67,5,10,chi2,RandomForest,0.8324468085106383,0.8613829093281148,0.7747355778544032,0.7956799347914686
